city,state,population_2011_census,households_2011_census,census_geography_note
Bangalore,Karnataka,9621551,3267960,Bangalore district
Delhi,NCT of Delhi,16787941,4605955,Sum of all 9 NCT of Delhi districts (North West+North+North East+East+New Delhi+Central+West+South West+South)
Hyderabad,Telangana,3943323,1066289,Hyderabad district (pre-2014 undivided Andhra Pradesh boundary; Greater Hyderabad has grown substantially since)
Chennai,Tamil Nadu,4646732,1314125,Chennai district
Mumbai,Maharashtra,12442373,4186150,Sum of Mumbai + Mumbai Suburban districts
Pune,Maharashtra,9429408,3222457,Pune district
Kolkata,West Bengal,4496694,1308106,Kolkata district
Gurgaon,Haryana,1514432,523691,Gurgaon district
Lucknow,Uttar Pradesh,4589838,1061721,Lucknow district
Ahmedabad,Gujarat,7214225,2198552,Ahmadabad district (Census spelling)
Ghaziabad,Uttar Pradesh,4681645,1191723,Ghaziabad district
Noida,Uttar Pradesh,1648115,509770,Gautam Buddha Nagar district
Jaipur,Rajasthan,6626178,1732679,Jaipur district
Patna,Bihar,5838465,1210094,Patna district
Faridabad,Haryana,1809733,470681,Faridabad district
Thane,Maharashtra,11060148,3618151,Thane district
Navi Mumbai,Maharashtra,11060148,3618151,Part of Thane district (Navi Mumbai is not a separate census district; no isolated figure available)
Kanpur,Uttar Pradesh,4581268,1049775,Kanpur Nagar district
Nagpur,Maharashtra,4653570,1308366,Nagpur district
Dehradun,Uttarakhand,1696694,497638,Dehradun district
